1	EBI-mg	0.0012
2	MLTreeMap	0.0158
3	RITA	0.074
4	MEGAN	0.0773
5	Treephyler	0.1182
6	MetaPhlan	0.11955
7	taxator-tk	0.12495
8	MetaPhyler	0.2273
9	Taxy-Pro	0.27675
10	Quickr	0.2917
11	mOTU	0.33
12	TIPP	0.33045
13	FOCUS	0.3561
14	Kraken	0.3961
15	PhyloPythiaS	0.4502
16	phymmBL	0.4635
17	RAIphy	0.4645
18	metaCV	0.4755
19	DUDes	0.5178
20	commonkmers	0.5556
21	MetaBin	0.584
22	MetaPhlAn2.0	0.61115
23	Genometa	0.66025
24	GOTTCHA	0.7003
25	DiScRIBinATE	0.7835
26	MG-RAST	0.7935
27	NBC	0.8049
28	mothur	0.81402663955
29	CARMA3	0.822
30	TACOA	0.845
31	BMP	0.84934379855
32	LMAT	0.8538
33	QIIME	0.8609051248
34	CLARK	0.8975857127
35	CLARK-S	0.9392
36	OneCodex	0.9589
