Method	setA1_Real	setA2_Real	setA3_Real	setB1_Real	setB2_Real	setB3_Real	setA1_Genometa	setA2_Genometa	setA3_Genometa	setB1_Genometa	setB2_Genometa	setB3_Genometa	setA1_Kraken	setA2_Kraken	setA3_Kraken	setB1_Kraken	setB2_Kraken	setB3_Kraken	setA1_LMAT	setA2_LMAT	setA3_LMAT	setB1_LMAT	setB2_LMAT	setB3_LMAT	setA1_MetaPhlan	setA2_MetaPhlan	setA3_MetaPhlan	setB1_MetaPhlan	setB2_MetaPhlan	setB3_MetaPhlan	setA1_MG-RAST	setA2_MG-RAST	setA3_MG-RAST	setB1_MG-RAST	setB2_MG-RAST	setB3_MG-RAST	setA1_MEGAN	setA2_MEGAN	setA3_MEGAN	setB1_MEGAN	setB2_MEGAN	setB3_MEGAN	setA1_Qiime	setA2_Qiime	setA3_Qiime	setB1_Qiime	setB2_Qiime	setB3_Qiime	setA1_mOTU	setA2_mOTU	setA3_mOTU	setB1_mOTU	setB2_mOTU	setB3_mOTU	setA1_MetaPhyler	setA2_MetaPhyler	setA3_MetaPhyler	setB1_MetaPhyler	setB2_MetaPhyler	setB3_MetaPhyler	setA1_taxator-tk	setA2_taxator-tk	setA3_taxator-tk	setB1_taxator-tk	setB2_taxator-tk	setB3_taxator-tk	setA1_EBI	setA2_EBI	setA3_EBI	setB1_EBI	setB2_EBI	setB3_EBI	setA1_CLARK	setA2_CLARK	setA3_CLARK	setB1_CLARK	setB2_CLARK	setB3_CLARK	setA1_OneCodex	setA2_OneCodex	setA3_OneCodex	setB1_OneCodex	setB2_OneCodex	setB3_OneCodex	setA1_GOTTCHA	setA2_GOTTCHA	setA3_GOTTCHA	setB1_GOTTCHA	setB2_GOTTCHA	setB3_GOTTCHA
SEN	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.4651	0.4630	0.4653	0.5308	0.5256	0.5312	0.8984	0.8983	0.8984	0.9012	0.9012	0.9011	0.6442	0.6387	0.6434	0.6460	0.6391	0.6485	0.0604	0.0603	0.0603	0.0669	0.0668	0.0668	0.7903	0.7135	0.7176	0.6591	0.6572	0.6715	0.5622	0.5606	0.5622	0.5296	0.5269	0.5299	0.0005	0.0005	0.0005	0.0006	0.0006	0.0006	0.0020	0.0019	0.0020	0.0021	0.0020	0.0021	0.0057	0.0057	0.0057	0.0056	0.0056	0.0056	0.5577	0.5566	0.5576	0.5102	0.5086	0.5103	0.0006	0.0005	0.0006	0.0006	0.0006	0.0006	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.9197	0.9195	0.9196	0.9225	0.9223	0.9226	0.5388	0.5388	0.5388	0.5388	0.5388	0.5388
PPV	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.9929	0.9929	0.9929	0.9905	0.9905	0.9904	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.9052	0.9044	0.9050	0.9052	0.9045	0.9056	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.9978	0.9978	0.9978	0.9968	0.9969	0.9969	0.9957	0.9957	0.9957	0.9945	0.9945	0.9945	0.9981	0.9986	0.9970	0.9968	0.9965	0.9962	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.9949	0.9945	0.9949	0.9945	0.9948	0.9947	0.8707	0.8707	0.8705	0.8481	0.8480	0.8481	0.5884	0.5796	0.5832	0.5833	0.5725	0.5888	0.9528	0.9528	0.9528	0.9526	0.9525	0.9526	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
